Source_Row,Reject_Reasons,Payment_ID,Invoice_ID,Customer_ID,Payment_Date,Payment_Method,Payment_Amount,Payment_Fee,Payment_Status
32751,Invalid Foreign Key: Invoice_ID,PAY0032750,INV0032750,C012751,2026-06-13,Bank Transfer,21050.0,378.9,Successful
32961,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0032960,INV0032960,C012961,2026-01-09,Wallet,22220.0,399.96,Successful
33010,Duplicate Primary Key,PAY0033008,INV0033009,C013010,2026-02-27,Wallet,4553.0,81.95,Successful
33016,Invalid Foreign Key: Invoice_ID,PAY0033015,INV0033015,C013016,2026-03-05,UPI,5255.0,94.59,Successful
33251,Invalid Foreign Key: Invoice_ID,PAY0033250,INV0033250,C013251,2025-10-26,Bank Transfer,9350.0,168.3,Successful
33311,Invalid Foreign Key: Invoice_ID,PAY0033310,INV0033310,C013311,2025-12-25,Card,16370.0,294.66,Successful
33379,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0033378,INV0033378,C013379,2026-03-03,Card,24326.0,437.87,Successful
33751,Invalid Foreign Key: Invoice_ID,PAY0033750,INV0033750,C013751,2026-03-10,Wallet,21050.0,378.9,Successful
33764,Invalid Foreign Key: Invoice_ID,PAY0033763,INV0033763,C013764,2026-03-23,Bank Transfer,22571.0,406.28,Successful
33958,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0033957,INV0033957,C013958,2025-10-03,UPI,21869.0,393.64,Successful
34166,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0034165,INV0034165,C014166,2026-04-29,Wallet,22805.0,410.49,Successful
34251,Invalid Foreign Key: Invoice_ID,PAY0034250,INV0034250,C014251,2026-07-23,Card,9350.0,168.3,Successful
34751,Invalid Foreign Key: Invoice_ID,PAY0034750,INV0034750,C014751,2025-12-05,Wallet,21050.0,378.9,Successful
34953,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0034952,INV0034952,C014953,2026-06-25,Wallet,21284.0,383.11,Failed
34955,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0034954,INV0034954,C014955,2026-06-27,Bank Transfer,21518.0,387.32,Successful
35006,Invalid Foreign Key: Invoice_ID,PAY0035005,INV9999999,C015006,2026-08-17,Wallet,4085.0,73.53,Successful
35022,Future Date: Payment_Date,PAY0035021,INV0035021,C015022,2027-06-01,Wallet,5957.0,107.23,Successful
35217,Invalid Foreign Key: Invoice_ID,PAY0035216,INV0035216,C015217,2026-03-16,Card,5372.0,96.7,Successful
35251,Invalid Foreign Key: Invoice_ID,PAY0035250,INV0035250,C015251,2026-04-19,UPI,9350.0,168.3,Successful
35541,Invalid Foreign Key: Invoice_ID,PAY0035540,INV0035540,C015541,2026-02-03,UPI,19880.0,357.84,Successful
35740,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0035739,INV0035739,C015740,2026-08-21,Bank Transfer,19763.0,355.73,Successful
35751,Invalid Foreign Key: Invoice_ID,PAY0035750,INV0035750,C015751,2025-09-01,Bank Transfer,21050.0,378.9,Successful
35952,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0035951,INV0035951,C015952,2026-03-21,Card,21167.0,381.01,Successful
36251,Invalid Foreign Key: Invoice_ID,PAY0036250,INV0036250,C016251,2026-01-14,Wallet,9350.0,168.3,Successful
36527,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0036526,INV0036526,C016527,2025-10-17,UPI,18242.0,328.36,Successful
36642,Invalid Foreign Key: Invoice_ID,PAY0036641,INV0036641,C016642,2026-02-09,Card,8297.0,149.35,Successful
36751,Invalid Foreign Key: Invoice_ID,PAY0036750,INV0036750,C016751,2026-05-29,Wallet,21050.0,378.9,Successful
36949,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0036948,INV0036948,C016949,2025-12-13,UPI,20816.0,374.69,Successful
37251,Invalid Foreign Key: Invoice_ID,PAY0037250,INV0037250,C017251,2025-10-11,Bank Transfer,9350.0,168.3,Successful
37314,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0037313,INV0037313,C017314,2025-12-13,Bank Transfer,16721.0,300.98,Successful
37318,Invalid Foreign Key: Invoice_ID,PAY0037317,INV0037317,C017318,2025-12-17,Card,17189.0,309.4,Successful
37418,Invalid Foreign Key: Invoice_ID,PAY0037417,INV0037417,C017418,2026-03-27,UPI,5489.0,98.8,Failed
37751,Invalid Foreign Key: Invoice_ID,PAY0037750,INV0037750,C017751,2026-02-23,Wallet,21050.0,378.9,Successful
37946,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0037945,INV0037945,C017946,2025-09-06,Card,20465.0,368.37,Successful
38101,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0038100,INV0038100,C018101,2026-02-08,Card,15200.0,273.6,Successful
38251,Invalid Foreign Key: Invoice_ID,PAY0038250,INV0038250,C018251,2026-07-08,UPI,9350.0,168.3,Failed
38751,Invalid Foreign Key: Invoice_ID,PAY0038750,INV0038750,C018751,2025-11-20,Card,21050.0,378.9,Successful
38888,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0038887,INV0038887,C018888,2026-04-06,UPI,13679.0,246.22,Successful
38943,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0038942,INV0038942,C018943,2026-05-31,UPI,20114.0,362.05,Successful
39095,Invalid Foreign Key: Invoice_ID,PAY0039094,INV0039094,C019095,2025-10-30,Card,14498.0,260.96,Successful
39251,Invalid Foreign Key: Invoice_ID,PAY0039250,INV0039250,C019251,2026-04-04,UPI,9350.0,168.3,Successful
39619,Invalid Foreign Key: Invoice_ID,PAY0039618,INV0039618,C019619,2026-04-07,Wallet,5606.0,100.91,Successful
39675,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0039674,INV0039674,C019675,2026-06-02,Wallet,12158.0,218.84,Successful
39751,Invalid Foreign Key: Invoice_ID,PAY0039750,INV0039750,C019751,2026-08-17,UPI,21050.0,378.9,Successful
39940,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0039939,INV0039939,C019940,2026-02-22,Card,19763.0,355.73,Successful
39973,Invalid Foreign Key: Invoice_ID,PAY0039972,INV0039972,C019973,2026-03-27,Bank Transfer,23624.0,425.23,Successful
40025,Future Date: Payment_Date,PAY0040024,INV0040024,C000025,2027-06-01,Card,6308.0,113.54,Successful
40029,Invalid Foreign Key: Invoice_ID,PAY0040028,INV0040028,C000029,2026-05-22,UPI,6776.0,121.97,Successful
40037,Invalid Foreign Key: Invoice_ID,PAY0040036,INV0040036,C000037,2026-05-30,Card,7712.0,138.82,Successful
40251,Invalid Foreign Key: Invoice_ID,PAY0040250,INV0040250,C000251,2025-12-30,Bank Transfer,9350.0,168.3,Successful
40751,Invalid Foreign Key: Invoice_ID,PAY0040750,INV0040750,C000751,2026-05-14,Bank Transfer,21050.0,378.9,Successful
40787,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0040786,INV0040786,C000787,2026-06-19,Wallet,25262.0,454.72,Successful
40872,Invalid Foreign Key: Invoice_ID,PAY0040871,INV0040871,C000872,2025-09-12,UPI,11807.0,212.53,Successful
40997,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0040996,INV0040996,C000997,2026-01-15,Card,26432.0,475.78,Successful
41251,Invalid Foreign Key: Invoice_ID,PAY0041250,INV0041250,C001251,2025-09-26,Wallet,9350.0,168.3,Successful
41574,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0041573,INV0041573,C001574,2026-08-15,Bank Transfer,23741.0,427.34,Successful
41751,Invalid Foreign Key: Invoice_ID,PAY0041750,INV0041750,C001751,2026-02-08,Wallet,21050.0,378.9,Successful
41820,Invalid Foreign Key: Invoice_ID,PAY0041819,INV0041819,C001820,2026-04-18,UPI,5723.0,103.01,Successful
41994,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0041993,INV0041993,C001994,2025-10-09,Card,26081.0,469.46,Successful
42007,Invalid Foreign Key: Invoice_ID,PAY0042006,INV9999999,C002007,2025-10-22,Card,4202.0,75.64,Successful
42251,Invalid Foreign Key: Invoice_ID,PAY0042250,INV0042250,C002251,2026-06-23,Wallet,9350.0,168.3,Successful
42361,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0042360,INV0042360,C002361,2025-10-11,Bank Transfer,22220.0,399.96,Successful
42649,Invalid Foreign Key: Invoice_ID,PAY0042648,INV0042648,C002649,2026-07-26,Wallet,9116.0,164.09,Successful
42751,Invalid Foreign Key: Invoice_ID,PAY0042750,INV0042750,C002751,2025-11-05,Wallet,21050.0,378.9,Successful
42991,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0042990,INV0042990,C002991,2026-07-03,Card,25730.0,463.14,Successful
43148,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0043147,INV0043147,C003148,2025-12-07,UPI,20699.0,372.58,Successful
43251,Invalid Foreign Key: Invoice_ID,PAY0043250,INV0043250,C003251,2026-03-20,Wallet,9350.0,168.3,Successful
43304,Invalid Foreign Key: Invoice_ID,PAY0043303,INV0043303,C003304,2026-05-12,Card,15551.0,279.92,Successful
43751,Invalid Foreign Key: Invoice_ID,PAY0043750,INV0043750,C003751,2026-08-02,Wallet,21050.0,378.9,Successful
43935,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0043934,INV0043934,C003935,2026-02-02,Card,19178.0,345.2,Successful
43988,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0043987,INV0043987,C003988,2026-03-27,Bank Transfer,25379.0,456.82,Successful
44013,Duplicate Primary Key,PAY0044011,INV0044012,C004013,2026-04-21,Wallet,4904.0,88.27,Successful
44021,Invalid Foreign Key: Invoice_ID,PAY0044020,INV0044020,C004021,2026-04-29,Bank Transfer,5840.0,105.12,Successful
44251,Invalid Foreign Key: Invoice_ID,PAY0044250,INV0044250,C004251,2025-12-15,Bank Transfer,9350.0,168.3,Successful
44426,Invalid Foreign Key: Invoice_ID,PAY0044425,INV0044425,C004426,2026-06-08,UPI,6425.0,115.65,Successful
44722,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0044721,INV0044721,C004722,2026-03-31,Wallet,17657.0,317.83,Successful
44751,Invalid Foreign Key: Invoice_ID,PAY0044750,INV0044750,C004751,2026-04-29,Bank Transfer,21050.0,378.9,Successful
44985,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0044984,INV0044984,C004985,2025-12-19,Card,25028.0,450.5,Successful
45028,Future Date: Payment_Date,PAY0045027,INV0045027,C005028,2027-06-01,Wallet,6659.0,119.86,Successful
45251,Invalid Foreign Key: Invoice_ID,PAY0045250,INV0045250,C005251,2025-09-11,Bank Transfer,9350.0,168.3,Successful
45509,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0045508,INV0045508,C005509,2026-05-27,Wallet,16136.0,290.45,Successful
45751,Invalid Foreign Key: Invoice_ID,PAY0045750,INV0045750,C005751,2026-01-24,Card,21050.0,378.9,Successful
45982,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0045981,INV0045981,C005982,2025-09-12,Wallet,24677.0,444.19,Successful
46203,Invalid Foreign Key: Invoice_ID,PAY0046202,INV0046202,C006203,2026-04-21,Card,3734.0,67.21,Successful
46222,Invalid Foreign Key: Invoice_ID,PAY0046221,INV0046221,C006222,2026-05-10,Bank Transfer,5957.0,107.23,Successful
46251,Invalid Foreign Key: Invoice_ID,PAY0046250,INV0046250,C006251,2026-06-08,UPI,9350.0,168.3,Successful
46296,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0046295,INV0046295,C006296,2026-07-23,Card,14615.0,263.07,Successful
46635,Invalid Foreign Key: Invoice_ID,PAY0046634,INV0046634,C006635,2026-06-27,UPI,7478.0,134.6,Successful
46751,Invalid Foreign Key: Invoice_ID,PAY0046750,INV0046750,C006751,2025-10-21,UPI,21050.0,378.9,Failed
46979,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0046978,INV0046978,C006979,2026-06-06,Wallet,24326.0,437.87,Successful
47083,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0047082,INV0047082,C007083,2025-09-18,Wallet,13094.0,235.69,Successful
47251,Invalid Foreign Key: Invoice_ID,PAY0047250,INV0047250,C007251,2026-03-05,Card,9350.0,168.3,Successful
47751,Invalid Foreign Key: Invoice_ID,PAY0047750,INV0047750,C007751,2026-07-18,Wallet,21050.0,378.9,Successful
47870,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0047869,INV0047869,C007870,2025-11-14,UPI,11573.0,208.31,Successful
47976,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0047975,INV0047975,C007976,2026-02-28,Bank Transfer,23975.0,431.55,Successful
47980,Invalid Foreign Key: Invoice_ID,PAY0047979,INV0047979,C007980,2026-03-04,UPI,24443.0,439.97,Successful
48251,Invalid Foreign Key: Invoice_ID,PAY0048250,INV0048250,C008251,2025-11-30,Bank Transfer,9350.0,168.3,Successful
48423,Invalid Foreign Key: Invoice_ID,PAY0048422,INV0048422,C008423,2026-05-21,UPI,6074.0,109.33,Successful
48657,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0048656,INV0048656,C008657,2026-01-10,Bank Transfer,10052.0,180.94,Successful
48751,Invalid Foreign Key: Invoice_ID,PAY0048750,INV0048750,C008751,2026-04-14,Wallet,21050.0,378.9,Successful
48973,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0048972,INV0048972,C008973,2025-11-22,Card,23624.0,425.23,Successful
49008,Invalid Foreign Key: Invoice_ID,PAY0049007,INV9999999,C009008,2025-12-27,Card,4319.0,77.74,Successful
49251,Invalid Foreign Key: Invoice_ID,PAY0049250,INV0049250,C009251,2026-08-27,Wallet,9350.0,168.3,Successful
49444,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0049443,INV0049443,C009444,2026-03-08,Card,8531.0,153.56,Successful
49751,Invalid Foreign Key: Invoice_ID,PAY0049750,INV0049750,C009751,2026-01-09,Wallet,21050.0,378.9,Successful
49757,Invalid Foreign Key: Invoice_ID,PAY0049756,INV0049756,C009757,2026-01-15,Card,21752.0,391.54,Successful
49966,Invalid Foreign Key: Invoice_ID,PAY0049965,INV0049965,C009966,2026-08-12,UPI,22805.0,410.49,Successful
49970,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0049969,INV0049969,C009970,2026-08-16,Bank Transfer,23273.0,418.91,Successful
50031,Future Date: Payment_Date,PAY0050030,INV0050030,C010031,2027-06-01,Wallet,7010.0,126.18,Successful
50036,Invalid Foreign Key: Invoice_ID,PAY0050035,INV0050035,C010036,2025-10-21,Bank Transfer,7595.0,136.71,Successful
50046,Invalid Foreign Key: Invoice_ID,PAY0050045,INV0050045,C010046,2025-10-31,Bank Transfer,8765.0,157.77,Successful
50231,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0050230,INV0050230,C010231,2026-05-04,Wallet,7010.0,126.18,Successful
50251,Invalid Foreign Key: Invoice_ID,PAY0050250,INV0050250,C010251,2026-05-24,Bank Transfer,9350.0,168.3,Successful
50624,Invalid Foreign Key: Invoice_ID,PAY0050623,INV0050623,C010624,2026-06-01,Wallet,6191.0,111.44,Successful
50751,Invalid Foreign Key: Invoice_ID,PAY0050750,INV0050750,C010751,2025-10-06,Card,21050.0,378.9,Successful
50967,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0050966,INV0050966,C010967,2026-05-10,Bank Transfer,22922.0,412.6,Failed
51018,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0051017,INV0051017,C011018,2026-06-30,Bank Transfer,5489.0,98.8,Failed
51251,Invalid Foreign Key: Invoice_ID,PAY0051250,INV0051250,C011251,2026-02-18,Card,9350.0,168.3,Successful
51534,Invalid Foreign Key: Invoice_ID,PAY0051533,INV0051533,C011534,2025-11-28,UPI,19061.0,343.1,Successful
51751,Invalid Foreign Key: Invoice_ID,PAY0051750,INV0051750,C011751,2026-07-03,UPI,21050.0,378.9,Successful
51805,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0051804,INV0051804,C011805,2026-08-26,Bank Transfer,3968.0,71.42,Successful
51964,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0051963,INV0051963,C011964,2026-02-01,Bank Transfer,22571.0,406.28,Successful
52251,Invalid Foreign Key: Invoice_ID,PAY0052250,INV0052250,C012251,2025-11-15,Wallet,9350.0,168.3,Successful
52592,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0052591,INV0052591,C012592,2025-10-22,Bank Transfer,25847.0,465.25,Successful
52751,Invalid Foreign Key: Invoice_ID,PAY0052750,INV0052750,C012751,2026-03-30,Bank Transfer,21050.0,378.9,Successful
52825,Invalid Foreign Key: Invoice_ID,PAY0052824,INV0052824,C012825,2026-06-12,Bank Transfer,6308.0,113.54,Successful
52961,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0052960,INV0052960,C012961,2025-10-26,Wallet,22220.0,399.96,Successful
53251,Invalid Foreign Key: Invoice_ID,PAY0053250,INV0053250,C013251,2026-08-12,UPI,9350.0,168.3,Successful
53297,Invalid Foreign Key: Invoice_ID,PAY0053296,INV0053296,C013297,2025-09-27,Wallet,14732.0,265.18,Successful
53311,Invalid Foreign Key: Invoice_ID,PAY0053310,INV0053310,C013311,2025-10-11,Card,16370.0,294.66,Successful
53379,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0053378,INV0053378,C013379,2025-12-18,UPI,24326.0,437.87,Successful
53751,Invalid Foreign Key: Invoice_ID,PAY0053750,INV0053750,C013751,2025-12-25,Card,21050.0,378.9,Successful
53958,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0053957,INV0053957,C013958,2026-07-20,Bank Transfer,21869.0,393.64,Successful
54166,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0054165,INV0054165,C014166,2026-02-13,Card,22805.0,410.49,Successful
54251,Invalid Foreign Key: Invoice_ID,PAY0054250,INV0054250,C014251,2026-05-09,Wallet,9350.0,168.3,Successful
54751,Invalid Foreign Key: Invoice_ID,PAY0054750,INV0054750,C014751,2025-09-21,UPI,21050.0,378.9,Successful
54953,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0054952,INV0054952,C014953,2026-04-11,Bank Transfer,21284.0,383.11,Successful
54955,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0054954,INV0054954,C014955,2026-04-13,UPI,21518.0,387.32,Successful
55016,Duplicate Primary Key,PAY0055014,INV0055015,C015016,2026-06-13,Card,5255.0,94.59,Successful
55026,Invalid Foreign Key: Invoice_ID,PAY0055025,INV0055025,C015026,2026-06-23,Bank Transfer,6425.0,115.65,Successful
55034,Future Date: Payment_Date,PAY0055033,INV0055033,C015034,2027-06-01,Bank Transfer,7361.0,132.5,Successful
55088,Invalid Foreign Key: Invoice_ID,PAY0055087,INV0055087,C015088,2026-08-24,Wallet,13679.0,246.22,Successful
55251,Invalid Foreign Key: Invoice_ID,PAY0055250,INV0055250,C015251,2026-02-03,Wallet,9350.0,168.3,Failed
55740,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0055739,INV0055739,C015740,2026-06-07,UPI,19763.0,355.73,Successful
55751,Invalid Foreign Key: Invoice_ID,PAY0055750,INV0055750,C015751,2026-06-18,Wallet,21050.0,378.9,Successful
55952,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0055951,INV0055951,C015952,2026-01-05,Card,21167.0,381.01,Successful
56009,Invalid Foreign Key: Invoice_ID,PAY0056008,INV9999999,C016009,2026-03-03,Card,4436.0,79.85,Successful
56251,Invalid Foreign Key: Invoice_ID,PAY0056250,INV0056250,C016251,2025-10-31,Wallet,9350.0,168.3,Successful
56527,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0056526,INV0056526,C016527,2026-08-03,Wallet,18242.0,328.36,Successful
56628,Invalid Foreign Key: Invoice_ID,PAY0056627,INV0056627,C016628,2025-11-12,Bank Transfer,6659.0,119.86,Failed
56751,Invalid Foreign Key: Invoice_ID,PAY0056750,INV0056750,C016751,2026-03-15,Card,21050.0,378.9,Successful
56865,Invalid Foreign Key: Invoice_ID,PAY0056864,INV0056864,C016865,2026-07-07,Card,10988.0,197.78,Successful
56949,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0056948,INV0056948,C016949,2025-09-29,Bank Transfer,20816.0,374.69,Successful
57227,Invalid Foreign Key: Invoice_ID,PAY0057226,INV0057226,C017227,2026-07-04,Wallet,6542.0,117.76,Successful
57251,Invalid Foreign Key: Invoice_ID,PAY0057250,INV0057250,C017251,2026-07-28,UPI,9350.0,168.3,Successful
57314,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0057313,INV0057313,C017314,2025-09-29,Wallet,16721.0,300.98,Successful
57751,Invalid Foreign Key: Invoice_ID,PAY0057750,INV0057750,C017751,2025-12-10,Bank Transfer,21050.0,378.9,Successful
57946,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0057945,INV0057945,C017946,2026-06-23,Wallet,20465.0,368.37,Successful
58101,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0058100,INV0058100,C018101,2025-11-25,Card,15200.0,273.6,Successful
58251,Invalid Foreign Key: Invoice_ID,PAY0058250,INV0058250,C018251,2026-04-24,Wallet,9350.0,168.3,Successful
58642,Invalid Foreign Key: Invoice_ID,PAY0058641,INV0058641,C018642,2026-05-20,Wallet,8297.0,149.35,Successful
58751,Invalid Foreign Key: Invoice_ID,PAY0058750,INV0058750,C018751,2025-09-06,Wallet,21050.0,378.9,Successful
58888,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0058887,INV0058887,C018888,2026-01-21,UPI,13679.0,246.22,Successful
58943,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0058942,INV0058942,C018943,2026-03-17,Bank Transfer,20114.0,362.05,Successful
59251,Invalid Foreign Key: Invoice_ID,PAY0059250,INV0059250,C019251,2026-01-19,Bank Transfer,9350.0,168.3,Successful
59428,Invalid Foreign Key: Invoice_ID,PAY0059427,INV0059427,C019428,2026-07-15,Wallet,6659.0,119.86,Successful
59675,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0059674,INV0059674,C019675,2026-03-19,Wallet,12158.0,218.84,Successful
59751,Invalid Foreign Key: Invoice_ID,PAY0059750,INV0059750,C019751,2026-06-03,UPI,21050.0,378.9,Successful
59940,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0059939,INV0059939,C019940,2025-12-09,Card,19763.0,355.73,Successful
59959,Invalid Foreign Key: Invoice_ID,PAY0059958,INV0059958,C019959,2025-12-28,UPI,21986.0,395.75,Successful
60037,Future Date: Payment_Date,PAY0060036,INV0060036,C000037,2027-06-01,Bank Transfer,7712.0,138.82,Successful
60043,Invalid Foreign Key: Invoice_ID,PAY0060042,INV0060042,C000043,2026-03-22,UPI,8414.0,151.45,Successful
60055,Invalid Foreign Key: Invoice_ID,PAY0060054,INV0060054,C000055,2026-04-03,UPI,9818.0,176.72,Successful
60251,Invalid Foreign Key: Invoice_ID,PAY0060250,INV0060250,C000251,2025-10-16,Bank Transfer,9350.0,168.3,Successful
60419,Invalid Foreign Key: Invoice_ID,PAY0060418,INV0060418,C000419,2026-04-02,Card,5606.0,100.91,Failed
60751,Invalid Foreign Key: Invoice_ID,PAY0060750,INV0060750,C000751,2026-02-28,Wallet,21050.0,378.9,Successful
60787,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0060786,INV0060786,C000787,2026-04-05,Card,25262.0,454.72,Successful
60997,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0060996,INV0060996,C000997,2025-11-01,Bank Transfer,26432.0,475.78,Failed
61251,Invalid Foreign Key: Invoice_ID,PAY0061250,INV0061250,C001251,2026-07-13,Wallet,9350.0,168.3,Successful
61574,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0061573,INV0061573,C001574,2026-06-01,Bank Transfer,23741.0,427.34,Successful
61629,Invalid Foreign Key: Invoice_ID,PAY0061628,INV0061628,C001629,2026-07-26,Wallet,6776.0,121.97,Successful
61751,Invalid Foreign Key: Invoice_ID,PAY0061750,INV0061750,C001751,2025-11-25,Wallet,21050.0,378.9,Successful
61994,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0061993,INV0061993,C001994,2026-07-26,Card,26081.0,469.46,Successful
62196,Invalid Foreign Key: Invoice_ID,PAY0062195,INV0062195,C002196,2026-02-13,Wallet,26315.0,473.67,Successful
62251,Invalid Foreign Key: Invoice_ID,PAY0062250,INV0062250,C002251,2026-04-09,Wallet,9350.0,168.3,Successful
62361,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0062360,INV0062360,C002361,2026-07-28,Bank Transfer,22220.0,399.96,Successful
62751,Invalid Foreign Key: Invoice_ID,PAY0062750,INV0062750,C002751,2026-08-22,UPI,21050.0,378.9,Successful
62991,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0062990,INV0062990,C002991,2026-04-19,UPI,25730.0,463.14,Successful
63010,Invalid Foreign Key: Invoice_ID,PAY0063009,INV9999999,C003010,2026-05-08,UPI,4553.0,81.95,Successful
63148,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0063147,INV0063147,C003148,2025-09-23,Card,20699.0,372.58,Successful
63251,Invalid Foreign Key: Invoice_ID,PAY0063250,INV0063250,C003251,2026-01-04,UPI,9350.0,168.3,Successful
63290,Invalid Foreign Key: Invoice_ID,PAY0063289,INV0063289,C003290,2026-02-12,Bank Transfer,13913.0,250.43,Successful
63751,Invalid Foreign Key: Invoice_ID,PAY0063750,INV0063750,C003751,2026-05-19,Card,21050.0,378.9,Failed
63830,Invalid Foreign Key: Invoice_ID,PAY0063829,INV0063829,C003830,2026-08-06,Bank Transfer,6893.0,124.07,Successful
63935,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0063934,INV0063934,C003935,2025-11-19,Bank Transfer,19178.0,345.2,Successful
63973,Invalid Foreign Key: Invoice_ID,PAY0063972,INV0063972,C003973,2025-12-27,Wallet,23624.0,425.23,Successful
63988,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0063987,INV0063987,C003988,2026-01-11,UPI,25379.0,456.82,Successful
64251,Invalid Foreign Key: Invoice_ID,PAY0064250,INV0064250,C004251,2025-10-01,Bank Transfer,9350.0,168.3,Successful
